Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
1,Baltimore Ravens(BAL),57,18,11,12,1,1,1,16,166.0,10.4,78.3%
2,Dallas Cowboys(DAL),42,15,8,13,6,1,1,16,162.0,10.1,88.9%
3,Cleveland Browns(CLE),46,17,10,11,3,0,0,16,149.0,9.3,92.5%
4,Buffalo Bills(BUF),53,16,12,12,2,0,0,16,147.0,9.2,94.5%
5,Miami Dolphins(MIA),53,13,11,13,4,0,0,16,143.0,8.9,69.2%
6,Las Vegas Raiders(LV),41,12,9,13,5,1,0,16,138.0,8.6,32.6%
7,San Francisco 49ers(SF),46,21,6,10,1,1,0,16,137.0,8.6,97.5%
8,New York Jets(NYJ),41,15,10,13,3,3,1,16,136.0,8.5,79.1%
9,New Orleans Saints(NO),33,16,10,9,2,0,1,16,135.0,8.4,53.4%
10,Indianapolis Colts(IND),49,15,9,16,4,0,1,16,135.0,8.4,43.3%
11,Pittsburgh Steelers(PIT),43,16,9,16,2,1,0,16,131.0,8.2,67.9%
12,Houston Texans(HOU),45,14,9,13,1,0,2,16,127.0,7.9,36.6%
13,Minnesota Vikings(MIN),42,11,11,21,2,0,0,16,124.0,7.8,24.5%
14,Kansas City Chiefs(KC),54,8,8,12,1,0,0,16,119.0,7.4,77.9%
15,Jacksonville Jaguars(JAC),38,15,11,11,2,0,0,16,117.0,7.3,49.1%
16,Tampa Bay Buccaneers(TB),45,13,10,16,1,1,0,16,116.0,7.3,32.0%
17,Chicago Bears(CHI),29,22,5,9,2,0,0,16,116.0,7.3,30.5%
18,Denver Broncos(DEN),39,11,15,17,1,1,1,16,115.0,7.2,48.4%
19,New York Giants(NYG),29,16,11,13,3,0,1,16,114.0,7.1,4.8%
20,Cincinnati Bengals(CIN),41,15,9,11,1,0,1,16,110.0,6.9,26.8%
21,Seattle Seahawks(SEA),46,11,8,12,3,0,0,16,107.0,6.7,22.5%
22,Green Bay Packers(GB),40,7,11,10,2,0,0,16,106.0,6.6,43.7%
23,New England Patriots(NE),35,10,7,13,1,1,1,16,105.0,6.6,25.0%
24,Los Angeles Chargers(LAC),47,8,12,13,0,0,1,16,105.0,6.6,23.2%
25,Detroit Lions(DET),37,14,6,11,1,1,0,16,98.0,6.1,26.8%
26,Philadelphia Eagles(PHI),41,8,8,13,3,1,0,16,97.0,6.1,72.7%
27,Tennessee Titans(TEN),45,4,8,11,1,0,0,16,97.0,6.1,5.7%
28,Atlanta Falcons(ATL),39,8,8,16,1,1,0,16,96.0,6.0,47.5%
29,Los Angeles Rams(LAR),38,10,4,6,0,2,0,16,77.0,4.8,44.0%
30,Arizona Cardinals(ARI),33,11,6,4,1,0,0,16,65.0,4.1,1.0%
31,Carolina Panthers(CAR),24,8,3,4,2,0,1,16,64.0,4.0,6.2%
32,Washington Commanders(WAS),39,7,10,10,0,0,0,16,64.0,4.0,18.5%
