Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
1,Brandon Aubrey(DAL),35,35,100.0,60,0,9,13,4,9,44,47,16,171.0,10.7,94.9%
2,Justin Tucker(BAL),31,36,86.1,50,0,10,9,11,1,50,51,16,156.0,9.8,97.9%
3,Jake Elliott(PHI),29,31,93.5,61,0,9,6,7,7,44,45,16,152.0,9.5,92.0%
4,Jason Myers(SEA),33,40,82.5,55,0,7,10,12,4,32,32,16,151.0,9.4,54.7%
5,Dustin Hopkins(CLE),33,36,91.7,58,0,8,7,10,8,24,26,15,149.0,9.9,34.6%
6,Cairo Santos(CHI),32,35,91.4,55,0,9,9,8,6,31,33,16,147.0,9.2,14.9%
7,Harrison Butker(KC),31,33,93.9,60,0,7,13,6,5,37,37,16,146.0,9.1,91.3%
8,Matt Gay(IND),30,37,81.1,57,0,9,7,7,7,35,36,16,146.0,9.1,46.3%
9,Jason Sanders(MIA),24,28,85.7,57,0,6,7,6,5,56,57,16,144.0,9.0,65.9%
10,Blake Grupe(NO),28,35,80.0,55,0,8,6,8,6,34,34,16,138.0,8.6,5.9%
11,Brandon McManus(JAC),28,35,80.0,56,0,4,9,10,5,33,33,16,137.0,8.6,35.2%
12,Cameron Dicker(LAC),27,29,93.1,55,0,6,8,6,7,35,35,16,136.0,8.5,52.8%
13,Greg Zuerlein(NYJ),32,34,94.1,55,0,7,8,12,5,15,16,15,133.0,8.9,6.9%
14,Younghoe Koo(ATL),31,36,86.1,54,0,10,9,9,3,25,26,16,133.0,8.3,51.5%
15,Evan McPherson(CIN),25,30,83.3,56,0,5,6,7,7,36,36,16,132.0,8.3,78.0%
16,Tyler Bass(BUF),24,29,82.8,54,0,4,12,4,4,46,47,16,130.0,8.1,72.9%
17,Jake Moody(SF),21,24,87.5,57,0,7,8,4,2,58,58,16,129.0,8.1,70.4%
18,Chris Boswell(PIT),28,30,93.3,57,0,8,7,7,6,25,26,16,128.0,8.0,25.8%
