PLAYER,REC_RATING
Tua Tagovailoa(MIA),886.53
Jared Goff(DET),858.85
Dak Prescott(DAL),855.12
Patrick Mahomes II(KC),850.34
Brock Purdy(SF),841.81
Josh Allen(BUF),801.66
Matthew Stafford(LAR),793.61
Baker Mayfield(TB),789.59
Jordan Love(GB),781.45
Sam Howell(WAS),775.9
Jalen Hurts(PHI),772.22
C.J. Stroud(HOU),764.1
Trevor Lawrence(JAC),755.76
Lamar Jackson(BAL),737.57
Derek Carr(NO),736.69
Geno Smith(SEA),693.68
Gardner Minshew II(IND),643.72
Justin Herbert(LAC),640.75
Russell Wilson(DEN),631.66
Bryce Young(CAR),581.68
Desmond Ridder(ATL),517.06
Joshua Dobbs(MIN),515.17
Justin Fields(CHI),494.74
Joe Burrow(CIN),481.18
Kirk Cousins(MIN),477.54
Zach Wilson(NYJ),467.91
Mac Jones(NE),441.83
Kenny Pickett(PIT),426.22
Aidan O'Connell(LV),409.24
Will Levis(TEN),367.94
Jake Browning(CIN),362.88
Joe Flacco(CLE),328.78
Kyler Murray(ARI),322.55
Ryan Tannehill(TEN),297.6
Jimmy Garoppolo(LV),251.6
Bailey Zappe(NE),249.5
Deshaun Watson(CLE),235.41
Tommy DeVito(NYG),232.85
Tyrod Taylor(NYG),218.13
Daniel Jones(NYG),198.44
Nick Mullens(MIN),188.98
Taylor Heinicke(ATL),187.34
Tyson Bagent(CHI),186.71
Easton Stick(LAC),185.41
Trevor Siemian(NYJ),146.47
P.J. Walker(CLE),142.38
Mitch Trubisky(PIT),140.66
Anthony Richardson(IND),126.23
Mason Rudolph(PIT),119.98
Drew Lock(SEA),119.04
Dorian Thompson-Robinson(CLE),104.16
Tim Boyle(HOU),86.89
C.J. Beathard(JAC),83.83
Andy Dalton(CAR),83.09
Case Keenum(HOU),71.18
Jameis Winston(NO),63.29
Jacoby Brissett(WAS),57.92
Brian Hoyer(LV),56.32
Jarrett Stidham(DEN),55.48
Davis Mills(HOU),44.8
Brett Rypien(NYJ),43.89
Jaren Hall(MIN),43.81
Cooper Rush(DAL),36.59
Sam Darnold(SF),32.98
Mike White(MIA),28.92
Malik Willis(TEN),27.69
Clayton Tune(ARI),24.53
Sean Clifford(GB),24.08
Tyler Huntley(BAL),23.97
AJ McCarron(CIN),17.59
Blaine Gabbert(KC),16.71
Marcus Mariota(PHI),14.99
Aaron Rodgers(NYJ),0.1
Kyle Trask(TB),0.1
John Wolford(TB),0.0
Brett Ratliff(TEN),0.0
Josh Johnson(BAL),0.0
Logan Woodside(ATL),0.0
Trace McSorley(PIT),0.0
David Blough(DET),0.0
Will Grier(LAC),0.0
Alex McGough(GB),0.0
Teddy Bridgewater(DET),0.0
Nate Sudfeld(DET),0.0
Brett Smith(TB),0.0
Carson Wentz(LAR),0.0
Jeff Driskel(CLE),0.0
Brandon Allen(SF),0.0
Sean Mannion(SEA),0.0
Ben Chappell(WAS),0.0
Matt Barkley(JAC),0.0
Nathan Peterman(CHI),0.0
Adam Froman(ATL),0.0
Cephus Johnson III(TB),0.0
Hunter Cantwell(BAL),0.0
Jake Haener(NO),0.0
Sam Ehlinger(IND),0.0
Ben DiNucci(DEN),0.0
Jacob Eason(FA),0.0
Jake Fromm(WAS),0.0
Shane Buechele(BUF),0.0
Kellen Mond(IND),0.0
Feleipe Franks(ATL),0.0
Trey Lance(DAL),0.0
Chris Oladokun(KC),0.0
Tanner McKee(PHI),0.0
Erik Ainge(NYJ),0.0
Hendon Hooker(DET),0.0
E.J. Perry(JAC),0.0
Nathan Rourke(NE),0.0
Dresser Winn(LAR),0.0
Drew Plitt(CIN),0.0
Malik Cunningham(BAL),0.0
Skylar Thompson(MIA),0.0
Stetson Bennett(LAR),0.0
Max Duggan(LAC),0.0
Kyle Allen(BUF),0.0
