RANK,PLAYER,CMP,PASS_ATT,PCT,PASS_YDS,Y/A,PASS_TD,INT,SACKS,RUSH_ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS/G,ROST
1,Josh Allen(BUF),355,541,65.6,"3,947",7.3,27,16,21,96,457,15,3,16,385.8,24.1,100.0%
2,Jalen Hurts(PHI),345,522,66.1,"3,803",7.3,23,14,34,155,601,15,5,16,370.3,23.1,100.0%
3,Lamar Jackson(BAL),307,457,67.2,"3,678",8.0,24,7,37,148,821,5,6,16,338.2,21.1,99.8%
4,Dak Prescott(DAL),379,554,68.4,"4,237",7.6,32,8,39,55,242,2,2,16,325.8,20.4,98.3%
5,Jordan Love(GB),345,547,63.1,"3,843",7.0,30,11,29,47,248,4,2,16,311.6,19.5,80.0%
6,Brock Purdy(SF),308,444,69.4,"4,280",9.6,31,11,28,39,144,2,2,16,306.6,19.2,95.3%
7,Patrick Mahomes II(KC),401,597,67.2,"4,183",7.0,27,14,27,75,389,0,3,16,294.1,18.4,100.0%
8,Jared Goff(DET),384,573,67.0,"4,255",7.4,28,12,29,32,21,2,3,16,282.1,17.6,82.0%
9,Baker Mayfield(TB),344,534,64.4,"3,907",7.3,28,10,37,57,156,1,3,16,277.8,17.4,66.4%
10,Tua Tagovailoa(MIA),371,533,69.6,"4,451",8.4,28,12,29,34,67,0,5,16,274.8,17.2,94.9%
11,Sam Howell(WAS),369,585,63.1,"3,793",6.5,20,19,61,44,264,5,2,16,269.2,16.8,54.7%
12,Russell Wilson(DEN),297,447,66.4,"3,070",6.9,26,8,45,80,341,3,5,15,264.9,17.7,59.7%
13,C.J. Stroud(HOU),299,473,63.2,"3,844",8.1,21,5,36,36,147,3,4,14,259.5,18.5,90.5%
14,Trevor Lawrence(JAC),341,521,65.5,"3,736",7.2,19,12,35,67,329,4,7,15,258.4,17.2,85.6%
15,Matthew Stafford(LAR),326,521,62.6,"3,965",7.6,24,11,30,21,65,0,0,15,254.3,17.0,77.5%
16,Justin Herbert(LAC),297,456,65.1,"3,134",6.9,20,7,29,52,228,3,1,13,240.2,18.5,55.3%
17,Justin Fields(CHI),216,354,61.0,"2,414",6.8,16,9,39,116,630,4,4,12,230.5,19.2,92.9%
18,Derek Carr(NO),353,520,67.9,"3,614",7.0,21,8,29,31,34,0,3,16,221.9,13.9,37.0%
19,Geno Smith(SEA),307,471,65.2,"3,435",7.3,18,9,31,34,127,1,3,14,215.0,15.4,64.4%
20,Joshua Dobbs(MIN),262,417,62.8,"2,464",5.9,13,10,30,77,421,6,7,13,210.5,16.2,23.3%
21,Gardner Minshew II(IND),292,466,62.7,"3,164",6.8,15,9,33,33,91,3,5,15,196.7,13.1,23.8%
22,Desmond Ridder(ATL),227,358,63.4,"2,545",7.1,10,11,31,51,193,5,6,14,171.5,12.3,5.0%
23,Bryce Young(CAR),304,509,59.7,"2,783",5.5,11,10,59,37,229,0,5,15,162.3,10.8,11.2%
