PLAYER,REC_RATING
Christian McCaffrey(SF),422.15
Kyren Williams(LAR),328.89
James Cook(BUF),318.12
Derrick Henry(TEN),316.9
D'Andre Swift(PHI),312.66
Travis Etienne Jr.(JAC),311.12
Rachaad White(TB),307.53
Joe Mixon(CIN),301.17
Tony Pollard(DAL),299.62
Raheem Mostert(MIA),294.46
Saquon Barkley(NYG),288.41
Bijan Robinson(ATL),287.51
Isiah Pacheco(KC),283.57
Najee Harris(PIT),283.44
David Montgomery(DET),282.07
Josh Jacobs(LV),268.37
Jahmyr Gibbs(DET),267.42
Breece Hall(NYJ),265.04
Chuba Hubbard(CAR),262.81
Jerome Ford(CLE),257.26
James Conner(ARI),255.93
Kenneth Walker III(SEA),255.75
Devin Singletary(HOU),251.96
Javonte Williams(DEN),246.44
Alvin Kamara(NO),239.75
Zack Moss(IND),232.21
Gus Edwards(BAL),231.89
Jaylen Warren(PIT),224.56
Brian Robinson Jr.(WAS),220.93
Alexander Mattison(MIN),214.09
Tyler Allgeier(ATL),208.79
Austin Ekeler(LAC),208.08
Ezekiel Elliott(NE),204.18
AJ Dillon(GB),201.57
Rhamondre Stevenson(NE),199.87
De'Von Achane(MIA),191.64
Jonathan Taylor(IND),172.26
Khalil Herbert(CHI),169.0
Aaron Jones(GB),164.78
Dameon Pierce(HOU),146.84
Miles Sanders(CAR),143.53
Kareem Hunt(CLE),143.37
Tyjae Spears(TEN),142.22
Zach Charbonnet(SEA),137.96
D'Onta Foreman(CHI),132.43
Joshua Kelley(LAC),124.93
Ty Chandler(MIN),120.74
Jaleel McLaughlin(DEN),119.87
Justice Hill(BAL),119.8
Roschon Johnson(CHI),109.29
Zamir White(LV),103.61
Kenneth Gainwell(PHI),102.55
Rico Dowdle(DAL),100.23
Jamaal Williams(NO),98.61
Keaton Mitchell(BAL),98.24
Latavius Murray(BUF),98.22
Antonio Gibson(WAS),94.3
Royce Freeman(LAR),91.43
Emari Demercado(ARI),87.18
Samaje Perine(DEN),84.13
Clyde Edwards-Helaire(KC),78.08
Dalvin Cook(FA),75.33
Elijah Mitchell(SF),71.22
Chris Rodriguez Jr.(WAS),69.55
Pierre Strong Jr.(CLE),65.77
Cam Akers(MIN),62.33
Matt Breida(NYG),59.37
Cordarrelle Patterson(ATL),53.57
Craig Reynolds(DET),53.53
Chase Edmonds(TB),52.75
Michael Carter(ARI),52.51
