RANK,PLAYER,ATT,RUSH_YDS,Y/A,LG,20+,RUSH_TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,ROST
1,Christian McCaffrey(SF),272,"1,459",5.4,72,19,14,67,83,564,8.4,7,2,16,324.3,20.3,100.0%
2,Raheem Mostert(MIA),209,"1,012",4.8,49,12,18,25,32,175,7.0,3,1,15,242.7,16.2,96.8%
3,Kyren Williams(LAR),228,"1,144",5.0,56,11,12,32,48,206,6.4,3,2,12,223.0,18.6,96.8%
4,Travis Etienne Jr.(JAC),251,951,3.8,62,11,11,53,67,446,8.4,1,0,16,215.7,13.5,99.9%
5,Derrick Henry(TEN),261,"1,014",3.9,63,7,11,28,36,214,7.6,0,0,16,197.4,12.3,99.2%
6,Rachaad White(TB),253,915,3.6,38,5,6,60,66,531,8.9,3,2,16,194.6,12.2,97.2%
7,Joe Mixon(CIN),243,923,3.8,22,2,8,51,62,370,7.3,2,0,16,191.3,12.0,98.8%
8,Breece Hall(NYJ),186,816,4.4,83,15,4,74,93,579,7.8,4,0,16,187.5,11.7,97.5%
9,James Cook(BUF),224,"1,086",4.8,42,10,2,41,50,429,10.5,4,2,16,183.5,11.5,96.8%
10,David Montgomery(DET),209,975,4.7,75,9,12,16,24,117,7.3,0,1,13,181.2,13.9,95.4%
11,Jahmyr Gibbs(DET),169,915,5.4,36,14,9,52,70,316,6.1,1,1,14,181.1,12.9,98.9%
12,Gus Edwards(BAL),188,762,4.1,42,7,13,12,13,180,15.0,0,1,16,172.2,10.8,78.9%
13,Isiah Pacheco(KC),205,935,4.6,48,11,7,44,49,244,5.5,2,1,14,169.9,12.1,95.9%
14,Bijan Robinson(ATL),203,948,4.7,38,9,4,51,78,384,7.5,3,3,16,169.2,10.6,99.6%
15,Jerome Ford(CLE),201,807,4.0,69,11,4,42,60,293,7.0,5,1,16,164.0,10.3,84.4%
16,Kenneth Walker III(SEA),202,827,4.1,45,11,8,28,36,256,9.1,1,0,14,162.3,11.6,96.5%
17,Saquon Barkley(NYG),229,916,4.0,36,12,4,39,58,229,5.9,4,2,13,160.5,12.3,100.0%
18,D'Andre Swift(PHI),229,"1,049",4.6,43,10,5,39,49,214,5.5,1,1,16,160.3,10.0,96.9%
19,Alvin Kamara(NO),180,694,3.9,17,0,5,75,86,466,6.2,1,0,13,158.0,12.2,98.8%
20,Brian Robinson Jr.(WAS),169,708,4.2,29,4,5,33,40,358,10.8,3,1,14,154.6,11.0,83.8%
21,Tony Pollard(DAL),235,935,4.0,31,7,5,53,65,295,5.6,0,1,16,153.0,9.6,99.1%
22,De'Von Achane(MIA),93,744,8.0,76,20,7,26,36,192,7.4,3,1,10,151.6,15.2,94.0%
23,James Conner(ARI),181,890,4.9,44,11,6,23,29,111,4.8,2,0,12,148.1,12.3,92.1%
24,Najee Harris(PIT),229,923,4.0,25,8,7,24,33,149,6.2,0,1,16,147.2,9.2,91.8%
25,Josh Jacobs(LV),233,805,3.5,63,8,6,37,54,296,8.0,0,1,13,144.1,11.1,96.5%
26,Zack Moss(IND),177,764,4.3,56,11,5,27,37,192,7.1,2,0,13,139.6,10.7,69.5%
27,Chuba Hubbard(CAR),215,819,3.8,22,4,5,37,42,224,6.1,0,0,16,134.3,8.4,78.8%
28,Jaylen Warren(PIT),140,751,5.4,74,8,4,56,69,353,6.3,0,1,16,132.4,8.3,80.9%
29,Austin Ekeler(LAC),169,617,3.7,55,7,5,44,66,398,9.0,1,4,13,129.5,10.0,99.5%
30,Devin Singletary(HOU),192,835,4.3,24,3,3,29,37,191,6.6,0,0,16,124.8,7.8,79.8%
31,Javonte Williams(DEN),208,742,3.6,21,2,2,40,49,185,4.6,2,1,15,118.7,7.9,90.2%
32,Tyler Allgeier(ATL),180,659,3.7,31,3,4,15,20,183,12.2,1,0,16,116.2,7.3,42.0%
33,Ezekiel Elliott(NE),171,588,3.4,17,0,3,46,58,286,6.2,2,1,16,115.4,7.2,81.6%
34,Jonathan Taylor(IND),139,553,4.0,42,4,6,17,21,145,8.5,1,0,9,111.8,12.4,97.2%
35,Rhamondre Stevenson(NE),156,619,4.0,64,4,4,38,51,238,6.3,0,1,12,107.7,9.0,80.1%
36,Kareem Hunt(CLE),135,411,3.0,16,0,9,14,20,79,5.6,0,0,14,103.0,7.4,48.2%
37,Alexander Mattison(MIN),173,676,3.9,21,1,0,29,43,187,6.4,3,2,15,100.3,6.7,75.3%
38,AJ Dillon(GB),178,613,3.4,40,3,2,22,28,223,10.1,0,0,15,95.6,6.4,63.6%
39,Aaron Jones(GB),120,545,4.5,39,4,2,25,38,203,8.1,1,1,10,90.8,9.1,94.2%
40,Khalil Herbert(CHI),120,583,4.9,38,8,2,18,29,121,6.7,1,1,11,88.4,8.0,51.2%
41,Tyjae Spears(TEN),97,428,4.4,23,2,1,49,67,344,7.0,0,0,16,83.2,5.2,42.8%
42,D'Onta Foreman(CHI),109,425,3.9,22,1,4,11,16,77,7.0,1,0,9,80.2,8.9,33.9%
43,Justice Hill(BAL),84,387,4.6,41,4,3,25,29,180,7.2,1,1,15,78.7,5.2,17.8%
44,Antonio Gibson(WAS),63,257,4.1,16,0,1,45,55,361,8.0,2,2,15,75.8,5.1,55.5%
45,Jaleel McLaughlin(DEN),72,404,5.6,38,6,1,31,36,160,5.2,2,0,16,74.4,4.7,9.9%
46,Ty Chandler(MIN),90,392,4.4,31,5,3,19,22,139,7.3,0,0,15,71.1,4.7,67.3%
47,Dameon Pierce(HOU),145,416,2.9,22,1,2,13,17,101,7.8,0,0,13,69.7,5.4,57.0%
48,Samaje Perine(DEN),50,231,4.6,24,1,1,47,52,432,9.2,0,2,16,68.3,4.3,27.2%
49,Zach Charbonnet(SEA),103,430,4.2,23,4,1,31,38,181,5.8,0,0,15,67.1,4.5,52.7%
50,Roschon Johnson(CHI),76,332,4.4,29,2,2,34,40,209,6.1,0,0,14,66.1,4.7,23.9%
51,Latavius Murray(BUF),79,300,3.8,29,2,4,17,22,119,7.0,0,0,16,65.9,4.1,14.6%
52,Rico Dowdle(DAL),80,315,3.9,21,1,2,14,18,90,6.4,2,0,15,64.5,4.3,7.6%
53,Kenneth Gainwell(PHI),77,302,3.9,23,2,2,30,36,183,6.1,0,1,15,61.2,4.1,21.1%
54,Keaton Mitchell(BAL),47,396,8.4,60,13,2,9,11,93,10.3,0,0,7,60.9,8.7,24.3%
55,Jerick McKinnon(KC),21,60,2.9,10,0,1,25,32,192,7.7,4,0,12,59.4,5.0,31.5%
56,Miles Sanders(CAR),126,414,3.3,48,3,1,27,41,154,5.7,0,2,15,58.8,3.9,45.4%
