PLAYER,REC_RATING
Sam LaPorta(DET),301.18
George Kittle(SF),336.9
Travis Kelce(KC),341.7
T.J. Hockenson(MIN),336.77
David Njoku(CLE),309.43
Cole Kmet(CHI),238.22
Taysom Hill(NO),93.51
Evan Engram(JAC),317.63
Jake Ferguson(DAL),243.11
Trey McBride(ARI),275.88
Mark Andrews(BAL),186.27
Dalton Schultz(HOU),207.68
Kyle Pitts(ATL),221.54
Hunter Henry(NE),149.2
Dallas Goedert(PHI),206.74
Logan Thomas(WAS),175.56
Dalton Kincaid(BUF),209.83
Cade Otton(TB),152.14
Jonnu Smith(ATL),190.16
Isaiah Likely(BAL),127.99
Tyler Higbee(LAR),174.08
Tyler Conklin(NYJ),212.37
Gerald Everett(LAC),149.36
Juwan Johnson(NO),118.98
Darren Waller(NYG),176.88
Chigoziem Okonkwo(TEN),175.4
Tucker Kraft(GB),111.15
Michael Mayer(LV),105.8
Donald Parham Jr.(LAC),73.98
Pat Freiermuth(PIT),102.93
Noah Gray(KC),105.88
Noah Fant(SEA),139.45
Kylen Granson(IND),120.24
Tanner Hudson(CIN),121.1
Luke Musgrave(GB),119.24
Tommy Tremble(CAR),66.8
Adam Trautman(DEN),67.77
Colby Parkinson(SEA),83.12
Mike Gesicki(NE),87.73
Brevin Jordan(HOU),73.73
Durham Smythe(MIA),116.11
Mo Alie-Cox(IND),49.47
Josh Oliver(MIN),64.83
Jimmy Graham(NO),15.44
Drew Sample(CIN),57.29
Andrew Ogletree(IND),50.61
Daniel Bellinger(NYG),87.75
Foster Moreau(NO),66.72
Harrison Bryant(CLE),32.55
Pharaoh Brown(NE),66.76
Zach Ertz(FA),72.43
Dawson Knox(BUF),61.37
Hayden Hurst(CAR),66.36
Andrew Beck(HOU),18.72
Will Mallory(IND),71.14
Stone Smartt(LAC),47.96
Austin Hooper(LV),68.75
Elijah Higgins(ARI),45.66
Luke Schoonmaker(DAL),25.11
Johnny Mundt(MIN),40.73
Connor Heyward(PIT),60.93
Lucas Krull(DEN),33.13
Luke Farrell(JAC),52.23
Irv Smith Jr.(CIN),44.9
Josh Whyle(TEN),33.61
MyCole Pruitt(ATL),32.06
Jeremy Ruckert(NYJ),53.61
John Bates(WAS),55.92
Brock Wright(DET),33.62
Davis Allen(LAR),23.86
Will Dissly(SEA),45.08
Stephen Sullivan(CAR),44.95
Charlie Kolar(BAL),21.08
Cole Turner(WAS),41.52
C.J. Uzomah(NYJ),22.16
Robert Tonyan(CHI),39.45
Jordan Akins(CLE),38.81
Brenton Strange(JAC),13.92
Geoff Swaim(ARI),32.73
Marcedes Lewis(CHI),10.93
Quintin Morris(BUF),9.01
Ben Sims(GB),8.86
Josiah Deguara(GB),23.04
Blake Bell(KC),9.68
Ko Kieft(TB),2.26
