RANK,PLAYER,REC,TGT,REC_YDS,Y/R,LG,20+,REC_TD,ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS/G,ROST
1,Sam LaPorta(DET),81,113,860,10.6,48,15,9,1,4,0,0,16,144.4,9.0,98.0%
2,George Kittle(SF),65,90,1020,15.7,66,31,6,1,2,0,0,16,138.2,8.6,99.2%
3,Travis Kelce(KC),93,121,984,10.6,53,17,5,0,0,0,1,15,126.4,8.4,100.0%
4,T.J. Hockenson(MIN),95,127,960,10.1,29,13,5,0,0,0,1,15,124.0,8.3,77.9%
5,David Njoku(CLE),81,123,882,10.9,43,21,6,0,0,0,2,16,120.2,7.5,94.7%
6,Cole Kmet(CHI),70,86,678,9.7,53,13,6,3,2,0,0,16,104.0,6.5,83.8%
7,Taysom Hill(NO),29,36,263,9.1,36,3,2,75,350,4,1,15,102.6,6.8,55.7%
8,Evan Engram(JAC),104,130,884,8.5,34,10,3,0,0,0,2,16,102.4,6.4,96.1%
9,Jake Ferguson(DAL),65,96,692,10.6,40,12,5,0,0,0,0,16,99.2,6.2,89.4%
10,Trey McBride(ARI),78,100,791,10.1,38,10,2,0,0,0,0,16,91.1,5.7,86.4%
11,Mark Andrews(BAL),45,61,544,12.1,38,11,6,1,0,0,0,10,90.4,9.0,51.3%
12,Dalton Schultz(HOU),54,81,593,11.0,31,8,5,0,0,0,1,14,87.3,6.2,79.1%
13,Kyle Pitts(ATL),51,87,640,12.5,39,10,3,1,-4,0,0,16,81.6,5.1,82.1%
14,Hunter Henry(NE),42,61,419,10.0,24,2,6,0,0,0,0,14,77.9,5.6,22.6%
15,Dallas Goedert(PHI),58,80,588,10.1,49,8,3,1,1,0,0,13,76.9,5.9,89.6%
16,Logan Thomas(WAS),54,76,487,9.0,29,3,4,1,2,0,2,15,70.9,4.7,38.0%
17,Dalton Kincaid(BUF),66,83,589,8.9,51,6,2,0,0,0,1,15,68.9,4.6,80.0%
18,Cade Otton(TB),45,64,425,9.4,27,5,4,0,0,0,1,16,66.5,4.2,26.6%
19,Jonnu Smith(ATL),47,67,553,11.8,60,11,2,1,0,0,1,16,65.3,4.1,15.0%
20,Isaiah Likely(BAL),28,38,380,13.6,54,10,4,0,0,0,0,16,62.0,3.9,67.6%
21,Tyler Higbee(LAR),47,70,495,10.5,33,8,2,0,0,0,0,15,61.5,4.1,38.4%
22,Tyler Conklin(NYJ),59,84,605,10.3,37,9,0,1,0,0,0,16,60.5,3.8,17.8%
23,Gerald Everett(LAC),50,69,407,8.1,31,5,3,3,10,0,0,14,59.7,4.3,39.3%
24,Juwan Johnson(NO),34,56,328,9.6,32,7,4,0,0,0,0,12,56.8,4.7,17.0%
25,Darren Waller(NYG),47,68,507,10.8,29,7,1,0,0,0,0,11,56.7,5.2,70.5%
26,Chigoziem Okonkwo(TEN),52,74,492,9.5,39,6,1,2,6,0,0,16,55.8,3.5,39.1%
