RANK,PLAYER,REC,TGT,REC_YDS,Y/R,LG,20+,REC_TD,ATT,RUSH_YDS,RUSH_TD,FL,G,FPTS,FPTS/G,ROST
1,CeeDee Lamb(DAL),122,168,1651,13.5,92,41,10,13,106,2,2,16,245.7,15.4,100.0%
2,Tyreek Hill(MIA),112,158,1717,15.3,78,56,12,6,15,0,1,15,243.2,16.2,100.0%
3,Mike Evans(TB),76,128,1233,16.2,75,39,13,0,0,0,0,16,201.3,12.6,97.5%
4,Amon-Ra St. Brown(DET),112,154,1371,12.2,46,28,9,4,24,0,1,15,191.5,12.8,100.0%
5,A.J. Brown(PHI),105,157,1447,13.8,59,34,7,0,0,0,1,16,184.7,11.5,100.0%
6,DJ Moore(CHI),92,130,1300,14.1,58,39,8,4,21,1,1,16,184.1,11.5,97.4%
7,Puka Nacua(LAR),101,154,1445,14.3,80,40,5,12,89,0,0,16,183.4,11.5,96.3%
8,Deebo Samuel(SF),58,87,871,15.0,54,30,7,36,214,5,0,14,180.5,12.9,99.2%
9,Brandon Aiyuk(SF),72,101,1317,18.3,76,42,7,0,0,0,1,15,171.7,11.4,97.8%
10,Keenan Allen(LAC),108,150,1243,11.5,42,24,7,2,6,0,1,13,170.9,13.1,94.9%
11,Ja'Marr Chase(CIN),96,139,1197,12.5,76,28,7,3,-6,0,0,15,160.8,10.7,99.4%
12,DK Metcalf(SEA),65,113,1104,17.0,73,37,8,0,0,0,0,15,158.4,10.6,98.3%
13,Stefon Diggs(BUF),100,152,1096,11.0,55,17,8,1,5,0,1,16,158.1,9.9,99.9%
14,Amari Cooper(CLE),72,128,1250,17.4,75,42,5,0,0,0,1,15,155.0,10.3,93.6%
15,Nico Collins(HOU),71,100,1102,15.5,59,34,7,1,7,0,0,14,154.9,11.1,92.8%
16,Davante Adams(LV),98,167,1098,11.2,46,19,7,0,0,0,0,16,151.8,9.5,99.4%
17,DeVonta Smith(PHI),81,112,1066,13.2,63,27,7,0,0,0,1,16,146.6,9.2,98.3%
18,George Pickens(PIT),63,106,1140,18.1,86,42,5,2,15,0,0,16,145.5,9.1,82.0%
19,Jayden Reed(GB),60,90,681,11.4,46,21,8,11,119,2,0,15,142.0,9.5,65.6%
20,Jordan Addison(MIN),66,100,854,12.9,62,23,9,1,2,0,0,16,139.6,8.7,88.7%
