PLAYER,REC_RATING
CeeDee Lamb(DAL),578.67
Tyreek Hill(MIA),594.07
Mike Evans(TB),429.57
Amon-Ra St. Brown(DET),487.0
A.J. Brown(PHI),508.58
DJ Moore(CHI),454.01
Puka Nacua(LAR),505.79
Deebo Samuel(SF),303.45
Brandon Aiyuk(SF),446.7
Keenan Allen(LAC),445.53
Ja'Marr Chase(CIN),425.6
DK Metcalf(SEA),382.74
Stefon Diggs(BUF),399.09
Amari Cooper(CLE),432.17
Nico Collins(HOU),380.58
Davante Adams(LV),402.46
DeVonta Smith(PHI),375.17
George Pickens(PIT),390.98
Jayden Reed(GB),246.91
Jordan Addison(MIN),303.88
Michael Pittman Jr.(IND),402.67
DeAndre Hopkins(TEN),358.08
Calvin Ridley(JAC),327.76
Rashee Rice(KC),333.22
Chris Olave(NO),381.11
Courtland Sutton(DEN),272.95
Zay Flowers(BAL),309.28
Jakobi Meyers(LV),271.34
Adam Thielen(CAR),365.76
Jaylen Waddle(MIA),354.38
Chris Godwin(TB),347.31
Terry McLaurin(WAS),338.33
Tank Dell(HOU),248.17
Gabe Davis(BUF),259.83
Romeo Doubs(GB),245.66
Garrett Wilson(NYJ),371.93
Justin Jefferson(MIN),305.47
Brandin Cooks(DAL),220.21
Tyler Lockett(SEA),300.74
Cooper Kupp(LAR),264.33
Drake London(ATL),305.6
Rashid Shaheed(NO),228.79
Tee Higgins(CIN),230.47
Christian Kirk(JAC),276.34
Curtis Samuel(WAS),220.14
Darius Slayton(NYG),245.87
Diontae Johnson(PIT),224.52
Jaxon Smith-Njigba(SEA),225.26
Josh Reynolds(DET),196.03
Josh Downs(IND),261.17
Marquise Brown(ARI),213.58
Tyler Boyd(CIN),243.37
DJ Chark Jr.(CAR),170.69
Jahan Dotson(WAS),185.3
Jerry Jeudy(DEN),240.41
Christian Watson(GB),149.82
Elijah Moore(CLE),236.27
Odell Beckham Jr.(BAL),197.59
Tutu Atwell(LAR),170.75
K.J. Osborn(MIN),191.9
Noah Brown(HOU),195.37
Michael Wilson(ARI),164.97
Wan'Dale Robinson(NYG),166.49
Joshua Palmer(LAC),185.0
Khalil Shakir(BUF),173.03
Alec Pierce(IND),180.31
Kendrick Bourne(NE),147.71
Dontayvion Wicks(GB),180.09
Justin Watson(KC),160.53
Demarcus Robinson(LAR),130.25
Rondale Moore(ARI),121.41
Nelson Agholor(BAL),122.75
Kalif Raymond(DET),153.1
Nick Westbrook-Ikhine(TEN),131.72
Demario Douglas(NE),197.28
Jameson Williams(DET),124.84
Trey Palmer(TB),139.7
Michael Gallup(DAL),150.17
Quentin Johnston(LAC),151.14
Michael Thomas(NO),162.63
Robert Woods(HOU),158.75
